﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4LN7WgL5mJVQedutMOx4Bl","Disco Descent","Danny Baranowsky","Crypt of the Necrodancer","1","4","180782","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:77RFXda1NeUkBIor8iZYJG","Peeping Tom - Original Mix","Jamie Berry, Rosie Harte","Peeping Tom","1","1","210000","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2rgtCOVK2tpfao2VjURn84","Lovers on the Sun (feat. Sam Martin)","David Guetta, Sam Martin","Listen","1","4","203520","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2JTpVt5V1Ko8Rer3Dh35SY","The Waves","Usman Riaz","Circus in the Sky","1","7","178226","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5xTmHLX4tB56rNxGFw03wW","Selvi Boylum Al Yazmalim","Cahit Berkay, Grup Zan","Toprak","1","12","578986","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5jRJlGB5EP7HFKwYBKvlSA","Fire","Diskopunk","Fire","1","1","197749","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:09TcIuH1ZO7i4vicWKoaN2","Papaoutai","Stromae","racine carrée","1","2","232146","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3TNnb2FEagv5NVP51Frn9E","Wonderboy - Live","Tenacious D","Tenacious D Live","1","9","240080","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:7b2ZGz864rQg7O9w5JX73c","Drunk Arcade (Club Mix)","Bombs Away","Electro Keys C#m/12a Vol 2","1","5","325049","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1TfqLAPs4K3s2rJMoCokcS","Sweet Dreams (Are Made of This) - Remastered","Eurythmics","Sweet Dreams (Are Made Of This)","1","6","216933","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1znPMY3zq78mVuTAmOA9O7","Nothing Else Matters","Metallica","Metallica","1","8","388266","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0FE9t6xYkqWXU2ahLh6D8X","Shape of You","Ed Sheeran","Shape of You","1","1","233712","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0rXKKQiBmzeBTPlK6vEOno","Crypteque","Danny Baranowsky","Crypt of the Necrodancer","1","5","165604","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:21YtsiVMUWaD3a19SVm1q9","Aşk Ne Demek","Yalın","Boxset (6 Albüm)","2","5","240466","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0wFMaHtHKDGyeTXsnzanOy","Lightbringer","Pentakill","Smite and Ignite","1","1","296160","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1BSsv8bVGdxyvW0NPiZy1A","Sen Olsan Bari","Aleyna Tilki","Sen Olsan Bari","1","1","180580","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4caQwNgeITFMyTMuUM9bzl","İzmir Marşı","Flört","İzmir Marşı","1","1","159413","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1bdXMstfxFWYSkEFTnJMoN","Enter Sandman","Metallica","Metallica","1","1","331266","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:65lF4BSw3bdNHf93OqfjQX","Ben Seni Arayamam","Yüksek Sadakat","Katil & Maktül","1","2","275053","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","Britney Spears","...Baby One More Time (Digital Deluxe Version)","1","1","211066","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4ZkwCJ2aorTrwgbx3J59oo","Mevsim Sonbahar","Emir","Mevsim Sonbahar","1","1","216406","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0zLhtDb5qftpfQRknw5XIl","Bindik Bir Alamete Gideyoz Kıyamete","Cem Karaca","Bindik Bir Alamete","1","1","213054","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4DMKwE2E2iYDKY01C335Uw","Carry on Wayward Son","Kansas","Leftoverture","1","1","323000","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3hxMQKMSDbLaCHxnJsWNyF","Yine","Kurban","İnsanlar","1","3","261642","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0QxCLD4xJlE8vv0Cvrb8TO","'74-'75","The Connells","Ring","1","3","278973","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:17SNUxOiBLtZpqvtXgZQSM","Rhythmortis","Danny Baranowsky","Crypt of the Necrodancer","1","2","149186","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1Pa4L24EJtTPkpftbmzeUb","Ayy / Ben Hala Rüyada","Oğuzhan Koç","Ben Hala Rüyada","1","1","198537","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:3Sy3MuMeVhCd2QwDwy0W6Q","Ele Güne Karşı","MFÖ","Ele Güne Karşı Yapayalnız","1","1","189367","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:7fUciYAATHFeKI5wPg10xw","Shimmer","Usman Riaz","Circus in the Sky","1","2","279320","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:13Jnxpcoi5ARYW4CzNISOH","Tenshiga Miru Yume","Suara","kizuna","1","12","280533","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0L639McB94IkUvIgZKM1E5","Pirates","Bullets And Octane","The Revelry","1","4","139640","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:0KGIbrNYktDXYyHopcDI2L","Make Me Wanna Die","The Pretty Reckless","Light Me Up","1","3","235653","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2zC5HggFPtvtGm7DgKs2vQ","Sözlerimi Geri Alamam","Bulutsuzluk Özlemi","Yaşamaya Mecbursun","1","16","344320","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4j71Wz1AsHJPx5ZRZ75WYk","SQRT - Radio Edit","Vigel","SQRT","1","1","201093","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4c9WmjVlQMr0s1IjbYO52Z","My Number","Foals","Holy Fire","1","3","240533","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1mea3bSkSGXuIRvnydlB5b","Viva La Vida","Coldplay","Viva La Vida Or Death And All His Friends","1","7","242373","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:7pBcon5GqvUfn58HRfF8wv","Afreen Afreen (Coke Studio Season 9)","Rahat Fateh Ali Khan, Momina Mustehsan","Afreen Afreen (Coke Studio Season 9)","1","1","400000","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:67l37jeA8HgsiB6qlSz6XH","Warcraft","Ramin Djawadi","Warcraft (Original Motion Picture Soundtrack)","1","1","118306","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:1e0hllQ23AG0QGFgezgLOq","Yesterday - Remastered","The Beatles","Help! (Remastered)","1","13","125666","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4aZXSzUKmrtwOzNFNP8dGI","Rapstar","Ceza","Rapstar","1","4","200226","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4vRU1GJTJshdWuAoSqtTxU","Roadie - Live","Tenacious D","Tenacious D Live","1","8","206520","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:02KvCQavZNanblSm3FJt6D","Introspective","Josie O'Connor","Sleepy Baby Piano","1","6","174375","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5iaay02hwJLw9D6QksFt3S","Queen of the Masquerade","Crimson Glory","Crimson Glory","1","2","332053","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4FYYh4qbUQ1DyISi0grkAM","Angel","Big Bad Bosses","Power Overwhelming","1","5","220250","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take on Me","a-ha","Hunting High And Low","1","1","225280","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:4lvxofi0SOziS2NaQAfHLS","Light My Fire","KOTOKO","Light My Fire","1","1","229026","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:5sIJNCEwXNcaJ9c9lMkPiy","Poison - Single Version","Alice Cooper","80s 100 Hits","1","80","268546","spotify:user:","2017-11-18T00:41:16Z"
"spotify:track:2SnZayZg4eTZ4592TmK6CN","Chip","The Real McKenzies","Off The Leash","1","1","194453","spotify:user:","2017-11-18T00:41:16Z"
