﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:100RKXy1f310X9T5vqV5Jv","A Serpentine Crave","Bishop Of Hexen","The Nightmarish Compositions","1","3","379626","spotify:user:","2010-11-26T14:48:49Z"
"spotify:track:3r7MkUz6QKbj7XrTnjSaEs","Ad Noctis","Rotting Christ","Genesis","1","9","371400","spotify:user:","2010-11-26T14:49:27Z"
"spotify:track:1H32DaOTgHMtncpL3JzyF5","Am I Evil","Diamond Head","Another Shot of Old Skool of Rock","2","5","459173","spotify:user:","2010-11-26T14:49:42Z"
"spotify:track:3ACVa5EM4xXGS0e2QOfr2c","Angel Witch","Angel Witch","'82 Revisited","1","8","365666","spotify:user:","2010-11-26T14:49:59Z"
"spotify:track:2DheMnbW4bvwIMqPzQ3vKd","Angels Don't Kill","Children Of Bodom","Hate Crew Deathroll (EU Version)","1","5","313733","spotify:user:","2010-11-26T14:50:17Z"
"spotify:track:6eU6eXeu9oqyITE5vJ1KtT","Assault Attack - 2009 Remastered Version","Michael Schenker Group","Assault Attack [2009 Digital Remaster + Bonus Track]","1","1","258906","spotify:user:","2010-11-26T14:50:33Z"
"spotify:track:1ODVORQrEO58oF1ivvJUWS","Back At The Funny Farm","Motörhead","Another Perfect Day Deluxe Edition","1","1","250266","spotify:user:","2010-11-26T14:50:49Z"
"spotify:track:5BddhZiPq76a9epGQILapJ","Battle Angels","Sanctuary","Refuge Denied","1","1","291693","spotify:user:","2010-11-26T14:51:16Z"
"spotify:track:2RubsezDockepgSTEqhakF","Battle Hymn","Judas Priest","Painkiller","1","9","56400","spotify:user:","2010-11-26T14:52:36Z"
"spotify:track:5NYevYCNe4dth66M7fIB9u","Believer","Ozzy Osbourne","Diary Of A Madman","1","4","317226","spotify:user:","2010-11-26T14:52:50Z"
"spotify:track:11849qCAC4JON6U2TconmH","Betrayal","Lita Ford","Wicked Wonderland","1","9","239200","spotify:user:","2010-11-26T14:53:10Z"
"spotify:track:4dqOR73ISrXW8gixsULSuY","Birth of the Hero","Tvangeste","Firestorm","1","3","346573","spotify:user:","2010-11-26T14:53:30Z"
"spotify:track:1H4Wi0RhLuiiYOq0XZeoaA","Blackout","Scorpions","Gold","1","17","227560","spotify:user:","2010-11-26T14:53:44Z"
"spotify:track:488SDLKT79YUhmwlb8uDSp","Blitzkrieg","Deathstars","Termination Bliss","1","2","244166","spotify:user:","2010-11-26T14:55:31Z"
"spotify:track:2YwXgxF0nZOgJuoj2TPcCw","Bomber","Girlschool","The Collection (Reissue)","1","13","214413","spotify:user:","2010-11-26T14:55:52Z"
"spotify:track:1jQFobgBIcVcGkno6Hjxou","Cathode Ray Sunshine","Dark Tranquillity","Damage Done (re-issue + Bonus Tracks)","1","8","254106","spotify:user:","2010-11-26T14:56:36Z"
"spotify:track:2sbBUOGW9hPAn89vOMKNn3","Children Of The Grave","Black Sabbath","Master Of Reality (Deluxe Edition)","1","4","315386","spotify:user:","2010-11-26T14:57:01Z"
"spotify:track:4nwwFLQqopxAL0g2L0Fg0B","Crack the Skye","Mastodon","Crack The Skye","1","6","354306","spotify:user:","2010-11-26T14:57:35Z"
"spotify:track:34rbkiub0FhOpV5fJtPUE2","Cremation (Reissue)","King Diamond","Conspiracy (Reissue)","1","10","252040","spotify:user:","2010-11-26T14:57:57Z"
"spotify:track:3vLznCnxKA5gp1XDkQNxUs","Cry Of The Banshee","Brocas Helm","Defender Of The Crown","1","1","258586","spotify:user:","2010-11-26T14:58:18Z"
"spotify:track:5wbrHRn8U8HuwIQhrc2rNt","The Dawn Of Battle","Manowar","The Dawn Of Battle","1","1","408760","spotify:user:","2010-11-26T14:58:34Z"
"spotify:track:52mxPsGKbfyElOA0FCtc0l","Deadly Sinners","3 Inches Of Blood","Advance And Vanquish","1","2","271160","spotify:user:","2010-11-26T14:58:52Z"
"spotify:track:0jFiJY1tqHkYhHl9tU6cEb","Destroy the Orcs","3 Inches Of Blood","Advance And Vanquish","1","11","141333","spotify:user:","2010-11-26T14:58:56Z"
"spotify:track:3HaYmdQ3Kx6D97oFHrah7E","Diary Of A Madman","Ozzy Osbourne","Essential Ozzy Osbourne 3.0","1","8","372066","spotify:user:","2010-11-26T14:59:31Z"
"spotify:track:10xTnoHy8uoBPMGSo7haG9","Die For Metal","Manowar","Gods Of War - Live","1","11","294640","spotify:user:","2010-11-26T15:00:10Z"
"spotify:track:2kRnjpWFPDj1nyI909aMwb","Dr Feelgood - International","Mötley Crüe","Dr Feelgood Deluxe Edition","1","2","289973","spotify:user:","2010-11-26T15:00:36Z"
"spotify:track:0JHGiDB1rWqdZA46cgwi64","Drink The Blood Of The Priest","Brocas Helm","Defender Of The Crown","1","15","352666","spotify:user:","2010-11-26T15:00:57Z"
"spotify:track:3Oa5MKYZbJ5n5zisoFRzX4","Fast As A Shark","Accept","Restless The Best","1","5","229693","spotify:user:","2010-11-26T15:01:11Z"
"spotify:track:5wsQczVfsUnEMsVIF3Ftmc","For The Glory Of...","Testament","The Formation Of Damnation","1","1","72493","spotify:user:","2010-11-26T15:01:39Z"
"spotify:track:6sKBcinDWuHA05KZ5K3SP1","Frost","Enslaved","Frost","1","1","172000","spotify:user:","2010-11-26T15:02:51Z"
"spotify:track:00dJCBIXWwnX7Miy7Vs85P","God Of Thunder","KISS","Greatest Kiss","1","13","255266","spotify:user:","2010-11-26T15:03:36Z"
"spotify:track:3oXnYBjv3awK74NTP2fzmi","Hall Of The Mountain King","Savatage","Hall Of The Mountain King","1","6","333453","spotify:user:","2010-11-26T15:04:37Z"
"spotify:track:2K39sfORWEjTvHpnEgFIuZ","Her Ghost In The Fog","Cradle Of Filth","Eleven Burial Masses","1","9","453093","spotify:user:","2010-11-26T15:05:06Z"
"spotify:track:0rzFlOXHVVmL8CvXPL0Fb3","High Speed Dirt","Megadeth","Countdown To Extinction","1","8","261040","spotify:user:","2010-11-26T15:05:21Z"
"spotify:track:1gTf1nNdKmnQ0I8xXoCztB","Igniisis Dance","Wrath Of Killenstein","Wrath Of Killenstein","1","2","178293","spotify:user:","2010-11-26T15:06:54Z"
"spotify:track:0OBMwq6VieVvgCT91UOc3j","In The Black","Motörhead","Inferno","1","7","271640","spotify:user:","2010-11-26T15:08:04Z"
"spotify:track:6ANhL7Hsh1urufwhhy2MVs","Insomnia","Dark Fortress","Séance","1","10","391360","spotify:user:","2010-11-26T15:08:33Z"
"spotify:track:2USqBGXjSTVXzVRIx027Au","Lay It Down","Ratt","Rhino Hi-Five: Ratt","1","3","205866","spotify:user:","2010-11-26T15:09:10Z"
"spotify:track:7jKqBoo7SCSQnYd8xRW6AV","Leather Rebel","Judas Priest","Painkiller","1","4","214933","spotify:user:","2010-11-26T15:09:22Z"
"spotify:track:1LlYz4DnUs0NKpC0k8rx13","Live Wire","Mötley Crüe","Too Fast For Love","1","1","194586","spotify:user:","2010-11-26T15:09:35Z"
"spotify:track:27vcwfCcgCaso2A0hifBT9","Loke","Enslaved","Frost","1","2","261920","spotify:user:","2010-11-26T15:09:56Z"
"spotify:track:6kJb4WaCuc4wLBIkSJUY3n","Love Dump","Static-X","Wisconsin Death Trip","1","4","259800","spotify:user:","2010-11-26T15:10:12Z"
"spotify:track:4KehaGq1qo2MLnaSs06bDL","Machine Gunn Eddie","Nitro","O.F.R.","1","3","407960","spotify:user:","2010-11-26T15:10:28Z"
"spotify:track:0mfQxPQHKZVKSlsTiXzuyV","Marching Off To War","Motörhead","Another Perfect Day Deluxe Edition","1","7","248880","spotify:user:","2010-11-26T15:11:13Z"
"spotify:track:56BNLFLPUL9NtIoxuC6dCQ","Master Exploder","Tenacious D","The Pick Of Destiny","1","7","144520","spotify:user:","2010-11-26T15:11:37Z"
"spotify:track:5ghMfHMHakVS0omjj2cBSA","Murmaider","Metalocalypse: Dethklok","The Dethalbum","1","1","204360","spotify:user:","2010-11-26T15:11:58Z"
"spotify:track:34LXW73avo8xz0NLiVuiow","Metal Church","Metal Church","Metal Church","1","2","301600","spotify:user:","2010-11-26T15:12:12Z"
"spotify:track:73xDNEtOsZ5BMipSCgMlWi","Metal Thrashing Mad","Anthrax","The Greater Of Two Evils","1","2","168120","spotify:user:","2010-11-26T15:13:07Z"
"spotify:track:3grRAQbbYxuOJYGICyYHM5","More Than Meets The Eye","Testament","Nuclear Blast Showdown Spring 2008","1","10","273226","spotify:user:","2010-11-26T15:13:22Z"
"spotify:track:3yGBmbKENjYAkCPoHXBk0F","Mr. Crowley","Ozzy Osbourne","The Essential Ozzy Osbourne","1","2","295133","spotify:user:","2010-11-26T15:13:32Z"
"spotify:track:4uZrwjglxv06buIEuvutvu","Narita","Riot","Live In Japan","1","10","246440","spotify:user:","2010-11-26T15:14:10Z"
"spotify:track:2t6ESKJzsmOyBJHnU6uByM","Never Say Die","Black Sabbath","Greatest Hits","1","6","227613","spotify:user:","2010-11-26T15:14:24Z"
"spotify:track:5nWTnbrTqyrMTKcNhHjbY2","No Love Lost","Carcass","Heartwork","1","3","202600","spotify:user:","2010-11-26T15:15:05Z"
"spotify:track:4Ynr1SPCeUI0W0YPeSFSIK","Oblivion","Mastodon","Crack The Skye","1","1","346573","spotify:user:","2010-11-26T15:15:23Z"
"spotify:track:3vMIPeiTP2fG321NMtRP59","Overnight Sensation (Live)","Firehouse","Firehouse","1","10","236026","spotify:user:","2010-11-26T15:15:38Z"
"spotify:track:6L9ioUFPJV1jCYIL69XWAU","Painkiller","Judas Priest","Playlist: The Very Best of Judas Priest","1","5","365106","spotify:user:","2010-11-26T15:15:53Z"
"spotify:track:1n1OAL9sl46kemH4j7vtvo","Progenies Of The Great Apocalypse","Dimmu Borgir","Death Cult Armageddon","1","2","318786","spotify:user:","2010-11-26T15:16:15Z"
"spotify:track:571yt6kFAZ5LPGveq08OHk","Pure Evil","Iced Earth","Night Of The Stormrider","1","7","393160","spotify:user:","2010-11-26T15:16:29Z"
"spotify:track:7hgtn706RqLE5q1mWe8aQx","Snap Your Fingers, Snap Your Neck","Prong","Cleansing","1","3","251533","spotify:user:","2010-11-26T15:18:17Z"
"spotify:track:0wkQ1NGp0D1QjC59vmbYNY","Youth Gone Wild","Skid Row","Best Of","1","1","197786","spotify:user:","2010-11-26T15:25:04Z"
"spotify:track:75zoptVCyP06r2Z5gyGc3V","World Of Hurt","Overkill","Hello From The Gutter - Best Of","2","8","296440","spotify:user:","2010-11-26T15:26:01Z"
"spotify:track:5lyuxmgNDDak8M7nC1mI68","Witches","Candlemass","Candlemass","1","6","382333","spotify:user:","2010-11-26T15:26:14Z"
