﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:64N9gHAvmSmjpgPRR9rUhA","Deliver Us","In Flames","Sounds Of A Playground Fading","1","2","210906","spotify:user:121623688","2014-09-22T20:52:22Z"
"spotify:track:78mHKYZEA4pfa0jjZDGEyi","Fear Is The Weakness","In Flames","Sounds Of A Playground Fading (Re-issue 2014)","1","5","243653","spotify:user:121623688","2014-09-22T20:58:19Z"
"spotify:track:28TcG73tbc4iGrGBFjiBnR","Kings of Metal","Manowar","Kings Of Metal","1","2","223866","spotify:user:121623688","2014-09-22T21:05:58Z"
"spotify:track:1VRnW4Qk8PP3EGGFMs6Z32","Battle Hymn","Manowar","Battle Hymns","1","8","416693","spotify:user:121623688","2014-09-22T21:15:20Z"
"spotify:local:Manowar:Gods+of+War:Gods+of+War:445","Gods of War","Manowar","Gods of War","0","0","445000","spotify:user:121623688","2014-09-23T05:08:40Z"
"spotify:local:Manowar:Gods+of+War:Die+for+Metal+%28Bonus+Track%29:316","Die for Metal (Bonus Track)","Manowar","Gods of War","0","0","316000","spotify:user:121623688","2014-09-23T05:08:40Z"
"spotify:local:Manowar:Gods+of+War:Sleipnir:313","Sleipnir","Manowar","Gods of War","0","0","313000","spotify:user:121623688","2014-09-23T05:08:40Z"
"spotify:track:2wE7eJkf3IvxKwqiK3UoiO","The Gods Made Heavy Metal","Manowar","Louder Than Hell","1","3","363906","spotify:user:121623688","2014-09-22T21:15:28Z"
"spotify:track:44aY80ueRBAveED9znUKVO","Number 1","Manowar","Louder Than Hell","1","5","311560","spotify:user:121623688","2014-09-22T21:15:33Z"
"spotify:track:5P2Ghhv0wFYThHfDQaS0g5","Metal Warriors","Manowar","The Triumph Of Steel","1","2","234559","spotify:user:121623688","2014-09-22T21:33:02Z"
"spotify:track:4ELT1W4vG0BuC04CQ2e98I","Blood of the Kings","Manowar","Kings Of Metal","1","10","449600","spotify:user:121623688","2014-09-22T21:50:42Z"
"spotify:track:0fPfGRT0whBgEIorrrbpXG","Return Of The Warlord","Manowar","Louder Than Hell","1","1","319626","spotify:user:121623688","2014-09-22T22:00:53Z"
"spotify:local:Manowar:Gods+of+War:Army+of+the+Dead+Part+2:140","Army of the Dead Part 2","Manowar","Gods of War","0","0","140000","spotify:user:121623688","2014-09-23T05:09:46Z"
"spotify:track:3tuCmmn6JmRXPln2Zt7KyI","Brothers Of Metal (Part 1)","Manowar","Louder Than Hell","1","2","234600","spotify:user:121623688","2014-09-22T22:08:59Z"
"spotify:track:2wE7eJkf3IvxKwqiK3UoiO","The Gods Made Heavy Metal","Manowar","Louder Than Hell","1","3","363906","spotify:user:121623688","2014-09-22T22:09:57Z"
"spotify:track:2vmoFsUw5jAn5GRZNWtPEj","The Power","Manowar","Louder Than Hell","1","10","249426","spotify:user:121623688","2014-09-22T22:53:51Z"
"spotify:track:5P2Ghhv0wFYThHfDQaS0g5","Metal Warriors","Manowar","The Triumph Of Steel","1","2","234559","spotify:user:121623688","2014-09-22T23:46:05Z"
"spotify:track:3SQlNgbmy6GQ1lq5yDUchx","Wheels of Fire","Manowar","Kings Of Metal","1","1","250373","spotify:user:121623688","2014-09-23T00:28:09Z"
"spotify:track:5HkvAtKEPDLmchWYmepqYB","Hail and Kill","Manowar","Kings Of Metal","1","8","357026","spotify:user:121623688","2014-09-23T00:56:23Z"
"spotify:track:71LpcoN3FNtzpzp2xCQNsX","All Men Play On Ten","Manowar","Sign Of The Hammer","1","1","241066","spotify:user:121623688","2014-09-23T01:15:33Z"
"spotify:track:2tjb6V24kf6sDUdEFNf3m9","Fighting the World","Manowar","Fighting The World","1","1","230560","spotify:user:121623688","2014-09-23T02:55:00Z"
"spotify:track:4S47FRAZ3VcyZS87FnQtmk","Carry On","Manowar","Fighting The World","1","3","252693","spotify:user:121623688","2014-09-23T03:02:39Z"
"spotify:track:7kSkw5mdcjFr34EjSKvyx8","Riding the Storm","Running Wild, Jan Nemec-Bocek","Death or Glory","1","1","387733","spotify:user:121623688","2014-09-26T17:48:14Z"
"spotify:track:3MPoO01r1ifHeaKJ3wC9dn","Heavy Metal Never Dies","Iron Savior","The Landing","1","5","254386","spotify:user:121623688","2014-09-26T18:05:40Z"
"spotify:track:1i9sEiYShcT0gzbLOitYLh","The Omega Man","Iron Savior","Megatropolis","1","2","291986","spotify:user:121623688","2014-09-26T18:10:15Z"
"spotify:track:7w0OQ6esC6kfSa2PExX6M7","Starlight","Iron Savior","The Landing","1","3","290973","spotify:user:121623688","2014-09-26T18:14:05Z"
"spotify:track:5Hzto0vLxLb8GfkUtu6ZJK","Drink","Alestorm","Sunset On The Golden Age","1","2","202586","spotify:user:121623688","2014-09-26T18:45:16Z"
"spotify:track:16n5mZoH64zwoKoVpNplGi","Captain Morgan's Revenge","Alestorm","Captain Morgan`s Revenge","1","2","402684","spotify:user:121623688","2014-09-26T18:49:38Z"
"spotify:track:4vDvFwVGsZClqO7v2HIQaP","The Sunk'n Norwegian","Alestorm","Back Through Time","1","3","247080","spotify:user:121623688","2014-09-26T19:01:47Z"
"spotify:track:00V5LkjoPQvIow4W7gcelF","TNT","Back In Black","Back in Black","1","7","214276","spotify:user:121623688","2014-10-12T18:57:55Z"
"spotify:track:7txxAtOMwLLnQTpKeBL6bp","Mother","Danzig","Danzig","1","6","204866","spotify:user:121623688","2014-12-18T04:25:16Z"
"spotify:track:5Gd0z6ixqzN6v6XLqs5zCw","Conquistadores","Running Wild","Port Royal","1","7","289946","spotify:user:121623688","2016-03-08T00:22:55Z"
"spotify:track:3MXA2BkBk0lSuMpRoM7SK2","The Trooper - 1998 Remastered Version","Iron Maiden","Piece of Mind (1998 Remastered Version)","1","5","250946","spotify:user:121623688","2017-02-19T07:41:00Z"
"spotify:track:2VrV1tFeoEnj15HK2j16l1","Hallowed Be Thy Name - 1998 Remastered Version","Iron Maiden","Somewhere Back In Time - The Best of 1980-1989","1","14","432320","spotify:user:121623688","2017-04-28T02:03:45Z"
"spotify:track:6PIT9IUAnHFlQ78tj8rrSy","Hallowed Be Thy Name","Machine Head","The Blackening","1","9","447373","spotify:user:121623688","2017-04-28T02:10:25Z"
"spotify:track:1bgVqJqAruGBp7nQGOFxfU","Panzerkampf","Sabaton","Art Of War","1","9","315746","spotify:user:121623688","2017-04-28T02:17:49Z"
"spotify:track:3gADBuiNvtYo6Xu9cGjm5V","The Last Stand","Sabaton","The Last Stand","1","7","235840","spotify:user:121623688","2017-04-28T02:25:58Z"
"spotify:track:6dHvSzATLME9M6BCo2si7f","Primo Victoria","Sabaton","Primo Victoria (Re-Armed)","1","1","250720","spotify:user:121623688","2017-04-28T02:40:33Z"
"spotify:track:1uWxsy3YDovfhVLy7s9W6g","Shiroyama","Sabaton","The Last Stand","1","9","213512","spotify:user:121623688","2017-04-28T02:48:14Z"
"spotify:track:0zxsXVo8abbV7YVtNdJ6JV","Sparta","Sabaton","The Last Stand","1","1","264202","spotify:user:121623688","2017-04-28T02:59:02Z"
