﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1zyGFId8xHOcRmCmehrwlc","I Can't Decide","Scissor Sisters","Ta Dah","1","3","166573","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2xYlyywNgefLCRDG8hlxZq","Take Me Home, Country Roads - Rerecorded","John Denver","The John Denver Collection, Vol. 1: Take Me Home Country Roads","1","1","197813","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2rzWSywjwzbysCmdOzssFR","Fairytale","Alexander Rybak","Fairytale","1","1","182640","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:0Y4nFqGjOEwDbTeO0dT4t9","Düm Tek Tek","Hadise","Kahraman","1","7","183437","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1b9ecBM3eLbevLVD9l8wl0","Sıfır Tolerans - Akustik","Hadise","Sıfır Tolerans (Akustik)","1","1","243632","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2ZrexJdMP2D9EIJQWiYb5E","Synthetic Life","Julian Emery, Dana Jean Phoenix","Synthetic Life","1","1","251209","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:4IzNn2A57BQt5RcNZhGWSR","Feridem","Barabar","Memleket Nere","1","1","216234","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:3sqe38e9rFeico8QPIobBX","Kara Değil mi?","Badem","Badem","1","1","236506","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:0edQ8LSrkwCpZEknFFDZod","Gittiğinden Beri","Badem","3B","1","2","231866","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:15NifcVj7U8darYBLqUolz","Gözyasim ve Ben - Akustik Uyarlama","Badem","3B","1","12","281880","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:3wL369Emj8gMF96Oz1HUva","Varsın Yoksun","Badem","S'onsuz","1","9","212000","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:16jCKRNfPtviqAaPn6SffK","Bir Ben Gibi Sev","Badem","Badem ve Konukları","1","13","231000","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:7boIbK0ssJEI8g24z6C7V0","Özgürce Yaşa","Şebnem Ferah, Hayko Cepkin, Badem, TNK, Aylin Aslım","Özgürce Yaşa","1","2","255000","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:6vbgHYlDD0fwSU54D2bD6o","Sen Ağlama","Badem","Badem","1","3","221600","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2iEGj7kAwH7HAa5epwYwLB","Back In Black","AC/DC","Iron Man 2","1","5","255640","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5XZbBdu9G5tFnwYfequdV7","Lovely Day - 7" Sunshine Mix","Bill Withers","80s 100 Hits","1","70","247000","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:3KtKhn8MD4nMTdgxx38LD3","Driving Rain (feat. Myles Kennedy & The Conspirators)","Slash, Myles Kennedy And The Conspirators","Living The Dream","1","9","250080","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:50XuBmcV8THyLBczxD0c2k","World On Fire","Slash","World On Fire","1","1","271030","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1BMDaiVYDREQnrQZA7Drpk","Sweet Child O' Mine - feat. Myles Kennedy and The Conspirators; Live at Spotify, London","Slash","Spotify Sessions","1","4","396968","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:24gG1AJj834rgA0PdRUy17","İsyan","Halil Sezai","Seni Beklerken","1","5","212573","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:2OVjn6DrjWZqTGdnF89YMS","Alla Beni Pulla Beni","24 Ayar, Müjde Kızılkan, Evrencan Gündüz","Miras","1","1","235350","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:482pOo6IOI0qNNHxkQFEDn","Hold Me Now","Johnny Logan","80s 100 Hits","1","36","173813","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:7EExKNitXoRvmPwZy0hbPO","Fragile Dreams","Anathema","Alternative 4","1","2","332091","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1T1WtUy7iy96qN1k5KDTDz","Toy Boy","Sinitta","80s 100 Hits","1","34","222680","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:1VUbi6WOdb5jteY3kRDkmX","Gaipten","Bedük","Bi Dans Etsek","1","8","165640","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:0dnx2LK0rnPTACGzbLc1Jx","Mz. Hyde","Halestorm","The Strange Case of...","1","2","202306","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:5sbooPcNgIE22DwO0VNGUJ","POP/STARS","K/DA, Madison Beer, (G)I-DLE, Jaira Burns, League of Legends","POP/STARS","1","1","191100","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:4tz4iMAfqen0XFNRJo1lAb","Mic Drop","Manic Drive","Mic Drop","1","1","210402","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:4HNxWTYm4HSoNmqgoIQfZM","Kaze no Tani no Nausicaa - Opening (Nausicaa of the Valley of the Wind)","Aun J-Classic Orchestra","Wa-Gakki de Ghibli","1","10","237240","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
"spotify:track:6MX2TZYW6I9LsglKuoPyYu","Flick Of The Wrist - BBC Session / October 16th 1974, Maida Vale 4 Studio","Queen","On Air","2","6","206778","spotify:user:seyahdoo","2019-05-23T16:01:59Z"
