﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2ACOWPLUe4A4KuQ5ioD2od","That's My Girl","Fifth Harmony","7/27 (Deluxe)","1","1","204013","spotify:user:seyahdoo","2017-10-25T11:11:50Z"
"spotify:track:63OFKbMaZSDZ4wtesuuq6f","Born To Be Wild","Steppenwolf","Steppenwolf","1","5","210373","spotify:user:seyahdoo","2017-10-27T06:15:11Z"
"spotify:track:0yki8SRGIYPbhaCxAu0gHT","Meczup","Can Bonomo","Meczup","1","10","229721","spotify:user:seyahdoo","2017-10-27T06:15:20Z"
"spotify:track:4FYYh4qbUQ1DyISi0grkAM","Angel","Big Bad Bosses","Power Overwhelming","1","5","220250","spotify:user:seyahdoo","2017-10-27T06:15:36Z"
"spotify:track:3TNnb2FEagv5NVP51Frn9E","Wonderboy - Live","Tenacious D","Tenacious D Live","1","9","240080","spotify:user:seyahdoo","2017-10-27T06:16:44Z"
"spotify:track:4vRU1GJTJshdWuAoSqtTxU","Roadie - Live","Tenacious D","Tenacious D Live","1","8","206520","spotify:user:seyahdoo","2017-10-27T06:16:48Z"
"spotify:track:0P4JuEXYJmu2Q7BTtQW5nR","Fear Of The Dark - 1998 Remastered Version","Iron Maiden","Fear Of The Dark (1998 Remastered Edition)","1","12","436826","spotify:user:seyahdoo","2017-10-27T06:16:54Z"
"spotify:track:6LVNEtih9B8i8kpnb8gDUq","Deathfire Grasp","Pentakill","Smite and Ignite","1","2","240026","spotify:user:seyahdoo","2017-10-27T06:17:14Z"
"spotify:track:0wFMaHtHKDGyeTXsnzanOy","Lightbringer","Pentakill","Smite and Ignite","1","1","296160","spotify:user:seyahdoo","2017-10-27T06:17:19Z"
"spotify:track:7c5lMuvtz2gddhDyG5MjB6","The Final Countdown","Europe","80s 100 Hits","1","4","236760","spotify:user:seyahdoo","2017-10-27T06:18:06Z"
"spotify:track:0jSRZBsn3RqAhBDzAefHAD","Eye of the Tiger","Survivor","80s 100 Hits","1","5","227413","spotify:user:seyahdoo","2017-10-27T06:18:10Z"
"spotify:track:2fMhwt77wUh3noEuedB3Nt","Cambaz","mor ve ötesi","Dünya Yalan Söylüyor","1","2","230600","spotify:user:seyahdoo","2017-10-27T06:18:38Z"
