﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2rgtCOVK2tpfao2VjURn84","Lovers on the Sun (feat. Sam Martin)","David Guetta, Sam Martin","Listen","1","4","203520","spotify:user:seyahdoo","2017-06-28T10:57:45Z"
"spotify:track:3jdekZpxvJX0tZTGWf0WEG","Daha İyisi Gelene Kadar","Murat Dalkılıç","Epik","1","4","194436","spotify:user:seyahdoo","2017-06-29T06:56:53Z"
"spotify:track:3jdekZpxvJX0tZTGWf0WEG","Daha İyisi Gelene Kadar","Murat Dalkılıç","Epik","1","4","194436","spotify:user:seyahdoo","2017-06-29T06:57:01Z"
"spotify:track:44XXnLW9z7YZXSHIUVj4cO","Monster","Meg Myers","Daughter In The Choir","1","6","228087","spotify:user:seyahdoo","2017-06-29T14:55:26Z"
"spotify:track:1gjsJMuWjwVpEceTRSAHeY","Daybreak (GoPro HERO3 Edit)","OVERWERK","Daybreak (GoPro HERO3 edit)","1","1","304326","spotify:user:seyahdoo","2017-07-13T11:28:06Z"
"spotify:track:28o8m1o9RGtySbmQJtAvym","Africa","Toto","80s 100 Hits","1","24","260839","spotify:user:seyahdoo","2017-07-24T07:12:23Z"
"spotify:track:5k0BI2qWqutKAV6iV0ggkF","The Gravel Road","James Newton Howard","The Village Original Soundtrack","1","8","271480","spotify:user:seyahdoo","2017-08-24T20:16:41Z"
"spotify:track:5bcTCxgc7xVfSaMV3RuVke","Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean","Funk Wav Bounces Vol.1","1","8","223413","spotify:user:seyahdoo","2017-08-28T08:42:39Z"
"spotify:track:0QxCLD4xJlE8vv0Cvrb8TO","'74-'75","The Connells","Ring","1","3","278973","spotify:user:seyahdoo","2017-09-28T20:08:27Z"
"spotify:track:5f9ITicRHEZplIs83LeiAw","Shape Mama New Warm Up","DJ Yoyo Sanchez","URBAN FITNESS MIXES VOL 11. MIX (Deluxe Edition)","1","4","451771","spotify:user:seyahdoo","2017-10-15T08:17:20Z"
"spotify:track:3cFsmM51N5zMAuu1nNY4Tw","No Lie","Sean Paul, Dua Lipa","No Lie","1","1","221176","spotify:user:seyahdoo","2017-10-15T08:45:39Z"
"spotify:track:2ZXWOCdQ2IJ63RBOjuQVR3","Happy","C2C, Derek Martin","Tetra","1","7","234640","spotify:user:seyahdoo","2017-11-19T22:17:50Z"
"spotify:track:6HJnv24HwWOuY3M8HaO5K6","Wonderwall - Arkane Mix","Plug Ins","Wonderwall","1","4","196440","spotify:user:seyahdoo","2017-12-01T19:19:48Z"
"spotify:track:3OTJpLWFLt1yGnlY6QzRCV","Top Secret","Russell K Shores","Thunder Rain","1","6","338306","spotify:user:seyahdoo","2017-12-01T19:21:11Z"
"spotify:track:5aSYCqTmfXXNsQOtTqEHq1","Firefly","Jim Yosef","Firefly","1","1","256620","spotify:user:seyahdoo","2018-01-19T21:57:38Z"
"spotify:track:1dX6oGAG5PaexuPj29PsYd","I Can't Go On Without You","KALEO","A/B","1","10","377000","spotify:user:seyahdoo","2018-03-30T14:00:17Z"
"spotify:track:2etIQ2pr2HzOLgKAlJf2IO","Call Me - Instrumental","Blondie","Call Me","1","2","209093","spotify:user:seyahdoo","2018-05-23T12:40:34Z"
"spotify:track:3L7imt5daDp28EcrpsYulo","Bonus Track - Clair de Lune","Claude Debussy, Xeeko","But to Paint a Universe Original Soundtrack","1","10","252865","spotify:user:seyahdoo","2018-06-06T13:54:57Z"
"spotify:track:61S0mEfdRtJ62Fc7fPqx0U","Feeling Good","Nina Simone","I Put A Spell On You","1","7","174000","spotify:user:seyahdoo","2018-06-08T10:50:15Z"
"spotify:track:4OrhNE33pXxUt7mRmACq8S","Riding the Fourth Wave","Streetlight Manifesto","Keasbey Nights","1","8","132320","spotify:user:seyahdoo","2018-06-12T13:52:12Z"
