﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3m6KkYKdnbffMpGd9Pm9FP","Seven Nation Army","The White Stripes","Elephant","1","1","231920","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6LtIW2Y5NbZnMlUJbiviQ6","Danger! High Voltage (Soulchild Radio Mix)","Electric Six","Fire","1","4","214600","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1FTSo4v6BOZH9QxKc3MbVM","Song 2 - 2012 Remastered Version","Blur","Blur [Special Edition]","1","2","121160","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2fAIfPLrPUTW1AmJRR428Q","Ruby","Kaiser Chiefs","Yours Truly, Angry Mob","1","1","204200","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:7xl2ZaOnKAxJyrkIQe2S43","Tick Tick Boom","The Hives","The Black and White album","1","1","205357","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:4mn2kNTqiGLwaUR8JdhJ1l","The House of the Rising Sun","The Animals","The Singles Plus","1","3","269906","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:5jzma6gCzYtKB1DbEwFZKH","London Calling - Remastered","The Clash","London Calling","1","1","200480","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0ancVQ9wEcHVd0RrGICTE4","Take Me Out","Franz Ferdinand","Franz Ferdinand","1","3","237026","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:305WCRhhS10XUcH6AEwZk6","Are You Gonna Be My Girl","Jet","Get Born","1","2","213800","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:3yP0cohcr97BUNJcgvmSVg","The Passenger","Iggy Pop","Lust For Life","1","4","284066","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1bx7OUl2UmAnA5oZkm9If7","Jerk It Out","Caesars","Jerk It Out","1","1","195666","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:72Z17vmmeQKAg8bptWvpVG","Space Oddity - 2015 Remastered Version","David Bowie","David Bowie (aka Space Oddity) [2015 Remastered Version]","1","1","318813","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6C0xucNj75wRdlejwWIEW1","Club Foot","Kasabian","Kasabian","1","1","214373","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:5FTbeZMbUgKfaSaCN8bY09","This Town Ain't Big Enough For Both Of Us","Sparks","Kimono My House","1","1","185826","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1bCmvezFg5MRcENzCGG1Cy","Chelsea Dagger","The Fratellis","Costello Music","1","4","215306","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:75D3n6wnFQmu1HVmLAlWM4","I Predict A Riot","Kaiser Chiefs","Employment","1","2","233186","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0fW13W2PZe6zq87vqUBR66","Mad World","Tears For Fears","The Hurting","1","2","215400","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:5qUNpGMN3XRn9uqZBR9e6N","Enjoy the Silence - 2006 - Remaster","Depeche Mode","The Best Of Depeche Mode Volume One","1","4","257927","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6C4LXC9UFH1IKiHYOp0BiJ","Sunday Bloody Sunday - Remastered 2008","U2","War (Remastered)","1","1","279440","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:75ARkUKb54dQ86YezuoNhn","Hate To Say I Told You So","The Hives","Veni Vidi Vicious","1","6","199733","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0bXhjlgUddDlJzHOeVM4Tq","Never Miss A Beat","Kaiser Chiefs","Off With Their Heads","1","2","187320","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:72aCha2Meq7txnk451hz7k","Helicopter","Bloc Party","Silent Alarm","1","2","220173","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:4qO03RMQm88DdpTJcxlglY","Call Me","Blondie","Atomic/Atomix","1","4","212600","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:6WrnSlcN0dzTO80mVVbBto","Do You Want To","Franz Ferdinand","You Could Have It So Much Better","1","2","215000","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2AT8iROs4FQueDv2c8q2KE","R U Mine?","Arctic Monkeys","AM","1","2","201726","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:2VAlwOewe5c40VHyqozF1V","Steady, As She Goes","The Raconteurs","Broken Boy Soldiers","1","1","215266","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:1FL9DHDSED6lxNMDJUJQvB","The Model - 2009 Remastered Version","Kraftwerk","The Man Machine (2009 Remastered Version)","1","4","220533","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:4BC2WQKrZdqMX6rHsvVbUy","Elevation","U2","All That You Can't Leave Behind","1","3","226626","spotify:user:","2019-04-17T11:32:21Z"
"spotify:track:0yEhNqCwEfy8LHUmnZoHpP","Bohemian Like You","The Dandy Warhols","Thirteen Tales From Urban Bohemia","1","10","211706","spotify:user:","2019-04-17T11:32:21Z"
